dateHour,networkDomain,visitors,visits,bounces,timeOnSite,Date,Hour,Domain
2014010503,,52,1,0.9,5,2014-01-05,03,Actual
2014010504,,33,1,0.94,2,2014-01-05,04,Actual
2014010505,,25,1,0.68,8,2014-01-05,05,Actual
2014010506,,30,1,0.97,0,2014-01-05,06,Actual
2014010507,,77,1,1,0,2014-01-05,07,Actual
2014010508,,164,1,1,0,2014-01-05,08,Actual
2014010509,,307,1,1,0,2014-01-05,09,Actual
2014010510,,387,1,0.99,1,2014-01-05,10,Actual
2014010511,,458,1,0.99,2,2014-01-05,11,Actual
2014010512,,443,1,1,0,2014-01-05,12,Actual
2014010513,,427,1,1,2,2014-01-05,13,Actual
2014010514,,444,1,1,0,2014-01-05,14,Actual
2014010515,,470,1,1,0,2014-01-05,15,Actual
2014010516,,521,1,1,2,2014-01-05,16,Actual
2014010517,,554,1,1,0,2014-01-05,17,Actual
2014010518,,566,1,1,1,2014-01-05,18,Actual
2014010519,,545,1,0.99,6,2014-01-05,19,Actual
2014010520,,512,1,0.99,7,2014-01-05,20,Actual
2014010521,,458,1,0.99,4,2014-01-05,21,Actual
2014010522,,373,1,1,1,2014-01-05,22,Actual
2014010523,,260,1,1,0,2014-01-05,23,Actual
2014010600,,149,1,1,0,2014-01-06,00,Actual
2014010601,,95,1,1,0,2014-01-06,01,Actual
2014010602,,60,1,1,0,2014-01-06,02,Actual
2014010603,,32,1,1,0,2014-01-06,03,Actual
2014010604,,19,1,1,0,2014-01-06,04,Actual
2014010605,,19,1,1,0,2014-01-06,05,Actual
2014010606,,23,1,1,0,2014-01-06,06,Actual
2014010607,,69,1,1,0,2014-01-06,07,Actual
2014010608,,164,1,0.99,0,2014-01-06,08,Actual
2014010609,,344,1,1,0,2014-01-06,09,Actual
2014010610,,445,1,1,1,2014-01-06,10,Actual
2014010611,,513,1,1,0,2014-01-06,11,Actual
2014010612,,538,1,0.92,44,2014-01-06,12,Actual
2014010613,,509,1,0.98,9,2014-01-06,13,Actual
2014010614,,559,1,1,1,2014-01-06,14,Actual
2014010615,,555,1,1,0,2014-01-06,15,Actual
2014010616,,688,1,0.99,5,2014-01-06,16,Actual
2014010617,,777,1,1,0,2014-01-06,17,Actual
2014010618,,634,1,0.98,10,2014-01-06,18,Actual
2014010619,,623,1,0.99,3,2014-01-06,19,Actual
2014010620,,585,1,0.96,26,2014-01-06,20,Actual
2014010621,,570,1,0.94,33,2014-01-06,21,Actual
2014010622,,507,1,0.92,35,2014-01-06,22,Actual
2014010623,,330,1,0.99,2,2014-01-06,23,Actual
2014010700,,158,1,1,0,2014-01-07,00,Actual
2014010701,,106,1,1,0,2014-01-07,01,Actual
2014010702,,51,1,1,0,2014-01-07,02,Actual
2014010703,,30,1,1,0,2014-01-07,03,Actual
2014010704,,27,1,0.96,1,2014-01-07,04,Actual
2014010705,,22,1,1,0,2014-01-07,05,Actual
2014010706,,35,1,0.97,1,2014-01-07,06,Actual
2014010707,,66,1,1,0,2014-01-07,07,Actual
2014010708,,202,1,1,0,2014-01-07,08,Actual
2014010709,,347,1,1,0,2014-01-07,09,Actual
2014010710,,467,1,0.99,4,2014-01-07,10,Actual
2014010711,,510,1,1,0,2014-01-07,11,Actual
2014010712,,561,1,0.98,8,2014-01-07,12,Actual
2014010713,,503,1,0.98,8,2014-01-07,13,Actual
2014010714,,560,1,1,1,2014-01-07,14,Actual
2014010715,,589,1,1,0,2014-01-07,15,Actual
2014010716,,731,1,0.98,11,2014-01-07,16,Actual
2014010717,,700,1,1,1,2014-01-07,17,Actual
2014010718,,686,1,0.99,4,2014-01-07,18,Actual
2014010719,,659,1,0.98,11,2014-01-07,19,Actual
2014010720,,664,1,0.92,49,2014-01-07,20,Actual
2014010721,,662,1,0.91,60,2014-01-07,21,Actual
2014010722,,433,1,0.97,11,2014-01-07,22,Actual
2014010723,,301,1,1,1,2014-01-07,23,Actual
2014010800,,208,1,1,0,2014-01-08,00,Actual
2014010801,,130,1,1,0,2014-01-08,01,Actual
2014010802,,58,1,1,0,2014-01-08,02,Actual
2014010803,,31,1,1,0,2014-01-08,03,Actual
2014010804,,23,1,1,0,2014-01-08,04,Actual
2014010805,,32,1,0.97,0,2014-01-08,05,Actual
2014010806,,47,1,1,0,2014-01-08,06,Actual
2014010807,,66,1,1,0,2014-01-08,07,Actual
2014010808,,233,1,1,0,2014-01-08,08,Actual
2014010809,,361,1,1,0,2014-01-08,09,Actual
2014010810,,486,1,0.98,8,2014-01-08,10,Actual
2014010811,,539,1,0.96,23,2014-01-08,11,Actual
2014010812,,529,1,0.98,12,2014-01-08,12,Actual
2014010813,,529,1,0.98,7,2014-01-08,13,Actual
2014010814,,556,1,0.98,9,2014-01-08,14,Actual
2014010815,,605,1,0.99,2,2014-01-08,15,Actual
2014010816,,683,1,0.98,14,2014-01-08,16,Actual
2014010817,,725,1,1,0,2014-01-08,17,Actual
2014010818,,700,1,0.99,7,2014-01-08,18,Actual
2014010819,,649,1,0.98,11,2014-01-08,19,Actual
2014010820,,730,1,0.89,74,2014-01-08,20,Actual
2014010821,,658,1,0.88,73,2014-01-08,21,Actual
2014010822,,518,1,0.93,36,2014-01-08,22,Actual
2014010823,,305,1,0.99,3,2014-01-08,23,Actual
2014010900,,169,1,1,0,2014-01-09,00,Actual
2014010901,,125,1,1,0,2014-01-09,01,Actual
2014010902,,91,1,0.99,1,2014-01-09,02,Actual
2014010903,,25,1,1,0,2014-01-09,03,Actual
2014010904,,18,1,1,0,2014-01-09,04,Actual
2014010905,,28,1,1,0,2014-01-09,05,Actual
2014010906,,34,1,1,0,2014-01-09,06,Actual
2014010907,,78,1,1,0,2014-01-09,07,Actual
2014010908,,200,1,1,0,2014-01-09,08,Actual
2014010909,,353,1,1,0,2014-01-09,09,Actual
